n,bf_time_ms,dc_time_ms,speedup,efficiency_percent,bf_comparisons,dc_comparisons,dc_recursive_calls,time_saved_ms,time_saved_percent,theoretical_bf_ops,theoretical_dc_ops,memory_kb
50,0.1847,0.0680,2.71,36.84,1225,63,35,0.1167,63.16,1225,282.19,1.56
100,0.7138,0.1492,4.79,20.90,4950,137,71,0.5647,79.10,4950,664.39,3.12
200,2.8612,0.3557,8.04,12.43,19900,263,143,2.5055,87.57,19900,1528.77,6.25
500,18.1453,1.1384,15.94,6.27,124750,559,487,17.0069,93.73,124750,4482.89,15.62
1000,73.6447,2.4127,30.52,3.28,499500,1130,975,71.2320,96.72,499500,9965.78,31.25
2000,288.1325,5.1630,55.81,1.79,1999000,2280,1951,282.9695,98.21,1999000,21931.57,62.50
3000,641.4765,7.9173,81.02,1.23,4498500,4209,2047,633.5592,98.77,4498500,34652.24,93.75
5000,1785.6652,14.4099,123.92,0.81,12497500,6485,4095,1771.2553,99.19,12497500,61438.56,156.25
7500,,22.7407,,,,9170,6807,,,,96545.06,234.38
10000,,31.4005,,,,12925,8191,,,,132877.12,312.50
15000,,49.5840,,,,18411,13615,,,,208090.12,468.75
20000,,66.9416,,,,25973,16383,,,,285754.25,625.00
30000,,107.7444,,,,37092,27231,,,,446180.25,937.50
50000,,187.7899,,,,71020,34463,,,,780482.02,1562.50
