n,bf_time_ms,dc_time_ms,speedup,efficiency_percent,bf_comparisons,dc_comparisons,dc_recursive_calls,time_saved_ms,time_saved_percent,comparison_reduction_percent,theoretical_bf_ops,theoretical_dc_ops,actual_bf_ratio,actual_dc_ratio,memory_kb
50,0.1785,0.0664,2.6886,37.1936,1225,63,35,0.1121,62.8064,94.8571,1225,282.1928,1.0000,0.2233,1.5625
100,0.6675,0.1463,4.5628,21.9164,4950,137,71,0.5212,78.0836,97.2323,4950,664.3856,1.0000,0.2062,3.1250
200,2.6770,0.3199,8.3677,11.9508,19900,263,143,2.3570,88.0492,98.6784,19900,1528.7712,1.0000,0.1720,6.2500
500,18.1417,1.1083,16.3691,6.1091,124750,559,487,17.0334,93.8909,99.5519,124750,4482.8921,1.0000,0.1247,15.6250
1000,70.7848,2.4394,29.0171,3.4462,499500,1130,975,68.3454,96.5538,99.7738,499500,9965.7843,1.0000,0.1134,31.2500
2000,281.0878,5.2396,53.6470,1.8640,1999000,2280,1951,275.8482,98.1360,99.8859,1999000,21931.5686,1.0000,0.1040,62.5000
3000,636.3870,7.8463,81.1063,1.2329,4498500,4209,2047,628.5407,98.7671,99.9064,4498500,34652.2404,1.0000,0.1215,93.7500
5000,1766.3447,14.2905,123.6031,0.8090,12497500,6485,4095,1752.0542,99.1910,99.9481,12497500,61438.5619,1.0000,0.1056,156.2500
7500,,22.9246,,,,9170,6807,,,,,96545.0616,,0.0950,234.3750
10000,,31.2353,,,,12925,8191,,,,,132877.1238,,0.0973,312.5000
15000,,49.6463,,,,18411,13615,,,,,208090.1232,,0.0885,468.7500
20000,,67.5647,,,,25973,16383,,,,,285754.2476,,0.0909,625.0000
30000,,107.0070,,,,37092,27231,,,,,446180.2464,,0.0831,937.5000
50000,,180.7795,,,,71020,34463,,,,,780482.0237,,0.0910,1562.5000
